age,work_class,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,fifty_k
31,Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,38,United-States,<=50K
53,Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
46,Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
37,Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
38,Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
32,Self-emp-not-inc,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
28,Private,10th,6,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K
31,Private,10th,6,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K
32,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
31,Private,10th,6,Divorced,Other-service,Not-in-family,White,Male,40,United-States,<=50K
33,Local-gov,10th,6,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K
39,Private,10th,6,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K
56,Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K
50,Self-emp-not-inc,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K
60,Private,10th,6,Divorced,Farming-fishing,Not-in-family,White,Male,48,United-States,<=50K
49,Private,10th,6,Divorced,Other-service,Not-in-family,White,Male,48,United-States,<=50K
41,Private,10th,6,Divorced,Sales,Not-in-family,White,Male,48,United-States,<=50K
40,Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K
35,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Male,50,United-States,<=50K
56,Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,56,United-States,<=50K
35,Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K
54,Private,10th,6,Divorced,Other-service,Not-in-family,White,Male,70,United-States,<=50K
29,Self-emp-not-inc,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,80,United-States,<=50K
36,Private,10th,6,Divorced,Craft-repair,Other-relative,Black,Male,40,United-States,<=50K
52,Private,10th,6,Divorced,Other-service,Other-relative,White,Female,25,United-States,<=50K
31,Private,10th,6,Divorced,Sales,Other-relative,White,Female,40,United-States,<=50K
57,Private,10th,6,Divorced,Adm-clerical,Other-relative,White,Female,70,Germany,<=50K
46,Private,10th,6,Divorced,Adm-clerical,Own-child,Black,Male,40,United-States,<=50K
39,Local-gov,10th,6,Divorced,Handlers-cleaners,Own-child,Black,Male,40,United-States,<=50K
28,Private,10th,6,Divorced,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K
62,Private,10th,6,Divorced,Other-service,Own-child,White,Female,40,United-States,<=50K
22,Private,10th,6,Divorced,Craft-repair,Own-child,White,Male,40,United-States,<=50K
36,Private,10th,6,Divorced,Sales,Own-child,White,Male,40,United-States,<=50K
56,Self-emp-not-inc,10th,6,Divorced,Sales,Own-child,White,Male,40,United-States,<=50K
40,Private,10th,6,Divorced,Transport-moving,Own-child,White,Male,40,United-States,<=50K
57,Self-emp-not-inc,10th,6,Divorced,Exec-managerial,Own-child,White,Male,60,United-States,>50K
32,Private,10th,6,Divorced,Other-service,Unmarried,Black,Female,23,United-States,<=50K
56,Private,10th,6,Divorced,Adm-clerical,Unmarried,Black,Female,36,United-States,<=50K
45,Private,10th,6,Divorced,Other-service,Unmarried,Black,Female,40,United-States,<=50K
39,Private,10th,6,Divorced,Other-service,Unmarried,Black,Female,40,United-States,<=50K
56,Private,10th,6,Divorced,Other-service,Unmarried,Black,Female,45,United-States,<=50K
46,Private,10th,6,Divorced,Machine-op-inspct,Unmarried,Black,Male,40,United-States,<=50K
44,Private,10th,6,Divorced,Adm-clerical,Unmarried,Other,Female,42,United-States,<=50K
51,Private,10th,6,Divorced,Other-service,Unmarried,White,Female,25,United-States,<=50K
47,Private,10th,6,Divorced,Sales,Unmarried,White,Female,30,United-States,<=50K
48,Private,10th,6,Divorced,Machine-op-inspct,Unmarried,White,Female,32,United-States,<=50K
37,Private,10th,6,Divorced,Other-service,Unmarried,White,Female,33,United-States,<=50K
37,Private,10th,6,Divorced,Exec-managerial,Unmarried,White,Female,35,United-States,<=50K
34,Private,10th,6,Divorced,Other-service,Unmarried,White,Female,38,United-States,<=50K
44,Private,10th,6,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
37,Private,10th,6,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K
36,Private,10th,6,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K
40,Private,10th,6,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K
62,Private,10th,6,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
30,Private,10th,6,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
54,Private,10th,6,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
62,Private,10th,6,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K
61,Private,10th,6,Divorced,Sales,Unmarried,White,Female,40,United-States,<=50K
33,Private,10th,6,Divorced,Other-service,Unmarried,White,Female,45,United-States,<=50K
53,Private,10th,6,Divorced,Adm-clerical,Unmarried,White,Female,48,United-States,<=50K
24,Private,10th,6,Divorced,Handlers-cleaners,Unmarried,White,Female,58,United-States,<=50K
43,Self-emp-not-inc,10th,6,Divorced,Farming-fishing,Unmarried,White,Male,25,United-States,<=50K
65,Federal-gov,10th,6,Divorced,Craft-repair,Unmarried,White,Male,40,United-States,<=50K
32,Private,10th,6,Divorced,Craft-repair,Unmarried,White,Male,40,United-States,<=50K
36,Private,10th,6,Divorced,Transport-moving,Unmarried,White,Male,48,United-States,<=50K
54,Private,10th,6,Divorced,Prof-specialty,Unmarried,White,Male,68,United-States,>50K
49,Self-emp-not-inc,10th,6,Divorced,Farming-fishing,Unmarried,White,Male,70,United-States,<=50K
67,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,20,United-States,<=50K
51,State-gov,10th,6,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,40,United-States,<=50K
32,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,40,United-States,<=50K
43,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,42,China,<=50K
35,Private,10th,6,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,60,India,<=50K
56,Private,10th,6,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,<=50K
40,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K
62,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K
53,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K
48,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,<=50K
60,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K
43,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K
62,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K
48,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K
64,Private,10th,6,Married-civ-spouse,Other-service,Husband,Black,Male,40,United-States,<=50K
30,Private,10th,6,Married-civ-spouse,Other-service,Husband,Black,Male,40,United-States,<=50K
55,Private,10th,6,Married-civ-spouse,Other-service,Husband,Black,Male,40,United-States,<=50K
50,Private,10th,6,Married-civ-spouse,Other-service,Husband,Black,Male,40,United-States,<=50K
54,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K
48,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K
55,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K
43,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,>50K
41,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,>50K
59,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,>50K
49,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,42,United-States,>50K
38,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,45,United-States,<=50K
46,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,45,United-States,<=50K
55,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,45,United-States,<=50K
57,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,48,United-States,<=50K
35,Self-emp-not-inc,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,50,United-States,<=50K
50,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,8,El-Salvador,<=50K
57,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,8,United-States,<=50K
71,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,8,United-States,<=50K
69,Local-gov,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,10,United-States,<=50K
64,Self-emp-not-inc,10th,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,10,United-States,>50K
72,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,12,United-States,<=50K
72,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,15,United-States,<=50K
68,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,16,United-States,<=50K
67,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,16,United-States,<=50K
55,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,18,United-States,<=50K
74,Private,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,20,United-States,<=50K
69,Local-gov,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,United-States,<=50K
65,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,22,United-States,>50K
21,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,25,United-States,<=50K
69,Local-gov,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,25,United-States,<=50K
28,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,30,Mexico,<=50K
48,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,30,United-States,<=50K
66,Self-emp-inc,10th,6,Married-civ-spouse,Sales,Husband,White,Male,30,United-States,<=50K
52,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,30,United-States,>50K
70,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,32,United-States,<=50K
53,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,34,United-States,<=50K
56,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,35,Cuba,>50K
37,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,35,Mexico,<=50K
42,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K
52,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K
53,Self-emp-not-inc,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,35,United-States,<=50K
21,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,35,United-States,<=50K
62,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,35,United-States,<=50K
55,Self-emp-not-inc,10th,6,Married-civ-spouse,Sales,Husband,White,Male,35,United-States,<=50K
26,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,35,United-States,<=50K
37,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,35,United-States,<=50K
29,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,>50K
28,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,36,United-States,<=50K
54,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,36,United-States,<=50K
21,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,36,United-States,<=50K
50,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,38,United-States,<=50K
25,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Guatemala,<=50K
25,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K
31,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,Mexico,<=50K
37,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K
51,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,40,Mexico,<=50K
24,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,40,Mexico,<=50K
23,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Portugal,<=50K
34,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,Portugal,<=50K
59,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,Puerto-Rico,<=50K
55,Local-gov,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
54,Local-gov,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
43,Private,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
64,Private,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
43,Private,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
30,State-gov,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
58,Federal-gov,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
66,Federal-gov,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
52,Local-gov,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
30,Local-gov,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
59,Local-gov,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
39,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
55,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
59,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
29,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
32,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
57,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
42,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
37,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
28,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
36,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
31,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
29,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
30,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
21,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
33,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
55,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
39,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
35,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
45,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
35,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
33,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
63,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
34,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
50,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
40,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
47,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
34,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
30,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
39,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
52,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
36,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
36,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
60,Self-emp-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
67,Self-emp-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
58,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
53,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
57,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
65,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
63,Private,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K
90,Private,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K
49,Private,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K
42,Private,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K
25,Private,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K
48,Self-emp-inc,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K
33,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K
34,Self-emp-not-inc,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K
59,Self-emp-not-inc,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K
53,Self-emp-not-inc,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K
59,State-gov,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K
24,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
27,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
27,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
26,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
43,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
59,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
54,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
46,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
56,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
23,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
33,State-gov,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
62,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
31,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
61,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
36,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
60,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
27,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
33,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
33,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
59,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
25,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
57,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
27,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
54,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
71,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
39,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
42,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
40,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
55,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
31,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
28,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
31,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
39,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
63,Self-emp-not-inc,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
53,Local-gov,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
26,Local-gov,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
57,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
55,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
21,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
49,State-gov,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
33,State-gov,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
66,Private,10th,6,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K
56,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
45,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
61,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
31,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
60,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
58,Local-gov,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
